X1,X2,X3,X4,X5,X6,X7
11.56,13.31,0.8198,5.3629999999999995,2.6830000000000003,4.062,5.182
10.82,12.83,0.8256,5.18,2.63,4.853,5.0889999999999995
15.05,14.68,0.8779,5.712000000000001,3.3280000000000003,2.129,5.36
14.59,14.28,0.8993,5.351,3.333,4.185,4.781000000000001
11.14,12.79,0.8558,5.011,2.7939999999999996,6.388,5.0489999999999995
10.83,12.96,0.8099,5.278,2.641,5.182,5.185
13.99,13.83,0.9183,5.119,3.383,5.234,4.781000000000001
13.02,13.76,0.8641,5.395,3.0260000000000002,3.373,4.825
12.7,13.71,0.8491,5.386,2.911,3.26,5.316
13.8,14.04,0.8794,5.376,3.155,1.56,4.961
12.15,13.45,0.8443,5.417000000000001,2.8369999999999997,3.638,5.337999999999999
16.14,14.99,0.9034,5.6579999999999995,3.562,1.355,5.175
18.17,16.26,0.8637,6.271,3.512,2.853,6.273
15.88,14.9,0.8988,5.617999999999999,3.5069999999999997,0.7651,5.091
13.94,14.17,0.8728,5.585,3.15,2.124,5.012
11.41,12.95,0.856,5.09,2.775,4.957,4.825
12.37,13.47,0.8567,5.204,2.96,3.9189999999999996,5.001
12.05,13.41,0.8416,5.267,2.847,4.988,5.046
18.89,16.23,0.9008,6.227,3.7689999999999997,3.639,5.966
14.52,14.6,0.8557,5.7410000000000005,3.113,1.4809999999999999,5.487
11.43,13.13,0.8335,5.176,2.719,2.221,5.132000000000001
11.19,13.05,0.8253,5.25,2.675,5.813,5.218999999999999
16.53,15.34,0.8823,5.875,3.467,5.532,5.88
13.22,13.84,0.868,5.395,3.07,4.157,5.088
18.76,16.2,0.8984,6.172000000000001,3.7960000000000003,3.12,6.053
14.28,14.17,0.8944,5.397,3.298,6.685,5.001
20.24,16.91,0.8897,6.315,3.9619999999999997,5.901,6.188
14.16,14.4,0.8584,5.6579999999999995,3.1289999999999996,3.072,5.176
10.74,12.73,0.8329,5.145,2.642,4.702,4.963
11.65,13.07,0.8575,5.1080000000000005,2.85,5.209,5.135
14.03,14.16,0.8796,5.438,3.201,1.7169999999999999,5.001
20.71,17.23,0.8763,6.579,3.8139999999999996,4.4510000000000005,6.4510000000000005
12.19,13.2,0.8783,5.1370000000000005,2.9810000000000003,3.6310000000000002,4.87
15.36,14.76,0.8861,5.7010000000000005,3.3930000000000002,1.367,5.132000000000001
11.55,13.1,0.8455,5.167000000000001,2.845,6.715,4.956
13.37,13.78,0.8849,5.32,3.128,4.67,5.091
14.49,14.61,0.8538,5.715,3.113,4.1160000000000005,5.396
20.16,17.03,0.8735,6.513,3.773,1.91,6.185
21.18,17.21,0.8989,6.5729999999999995,4.033,5.78,6.231
17.99,15.86,0.8992,5.89,3.694,2.068,5.837000000000001
16.16,15.33,0.8644,5.845,3.395,4.266,5.795
10.79,12.93,0.8107,5.317,2.648,5.462000000000001,5.194
15.57,15.15,0.8527,5.92,3.2310000000000003,2.64,5.879
14.8,14.52,0.8823,5.656000000000001,3.2880000000000003,3.112,5.309
16.23,15.18,0.885,5.872000000000001,3.472,3.7689999999999997,5.922000000000001
12.7,13.41,0.8874,5.183,3.091,8.456,5.0
13.89,14.02,0.888,5.439,3.199,3.986,4.738
14.79,14.52,0.8819,5.545,3.2910000000000004,2.7039999999999997,5.111000000000001
12.73,13.75,0.8458,5.412000000000001,2.8819999999999997,3.533,5.067
